ticker,type,ticker_api,name,id,sid
SETFGOLD,etf,SETFGOLD,SBI Gold ETF,SBIG,SBIG
GOLDBEES,etf,GOLDBEES,Nippon India ETF Gold BeES,GBES,GBES
HDFCGOLD,etf,HDFCGOLD,HDFC Gold ETF,HDGO,HDGO
TATAGOLD,etf,TATAGOLD,Tata Gold Exchange Traded Fund,TATAG,TATAG
GOLDIETF,etf,GOLDIETF,ICICI Prudential Gold ETF,IPEG,IPEG
GOLD1,etf,GOLD1,Kotak Gold Etf,KTGF,KTGF
GOLDCASE,etf,GOLDCASE,Zerodha Gold ETF,GOLDA,GOLDA
GOLDETF,etf,GOLDETF,Mirae Asset Gold ETF,MAGO,MAGO
MOGOLD,etf,MOGOLD,Motilal Oswal Gold ETF,MOG,MOG
AXISGOLD,etf,AXISGOLD,Axis Gold ETF,AXGF,AXGF
GOLDADD,etf,GOLDADD,DSP Gold ETF,DSPG,DSPG
GOLDBETA,etf,GOLDBETA,UTI Gold Exchange Traded Fund,UTGF,UTGF
BSLGOLDETF,etf,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,AITY,AITY
GROWWGOLD,etf,GROWWGOLD,Groww Gold ETF,GROWG,GROWG
LICMFGOLD,etf,LICMFGOLD,LIC MF Gold ETF,IDBE,IDBE
GOLDBND,etf,GOLDBND,Bandhan Gold ETF,GOLDB,GOLDB
BBNPPGOLD,etf,BBNPPGOLD,Baroda BNP Paribas Gold ETF,BBN,BBN
AONEGOLD,etf,AONEGOLD,Angel One Gold ETF,AONEG,AONEG
COMMOIETF,etf,COMMOIETF,ICICI Pru Nifty Commodities ETF,ICICO,ICICO
QGOLDHALF,etf,QGOLDHALF,Quantum Gold Fund,QTGF,QTGF
GOLD360,etf,GOLD360,360 ONE Gold ETF,GOLG,GOLG
CHOICEGOLD,etf,CHOICEGOLD,Choice Gold ETF,CHOIC,CHOIC
IVZINGOLD,etf,IVZINGOLD,Invesco India Gold Exchange Traded Fund,INVS,INVS
EGOLD,etf,EGOLD,Edelweiss Gold ETF,EGO,EGO
UNIONGOLD,etf,UNIONGOLD,Union Gold ETF,UNIOG,UNIOG
SILVERBEES,etf,SILVERBEES,Nippon India Silver ETF,NETFS,NETFS
TATSILV,etf,TATSILV,Tata Silver Exchange Traded Fund,TATSI,TATSI
HDFCSILVER,etf,HDFCSILVER,HDFC Silver ETF,HDFCS,HDFCS
SILVERIETF,etf,SILVERIETF,ICICI Prudential Silver ETF,ICICS,ICICS
SILVER,etf,SILVER,Aditya BSL Silver ETF,SILVR,SILVR
SBISILVER,etf,SBISILVER,SBI Silver ETF,SBISI,SBISI
SILVERCASE,etf,SILVERCASE,Zerodha Silver ETF,SILVC,SILVC
SILVER1,etf,SILVER1,Kotak Silver ETF,KOTAS,KOTAS
SILVERBETA,etf,SILVERBETA,UTI Silver Exchange Traded Fund,SILVT,SILVT
AXISILVER,etf,AXISILVER,Axis Silver ETF,AXISI,AXISI
SILVERADD,etf,SILVERADD,DSP Silver ETF,DSPS,DSPS
ESILVER,etf,ESILVER,Edelweiss Silver ETF,ESI,ESI
GROWWSLVR,etf,GROWWSLVR,Groww Silver ETF,GROWS,GROWS
SILVERAG,etf,SILVERAG,Mirae Asset Silver ETF,MASI,MASI
SILVER360,etf,SILVER360,360 ONE Silver ETF,SILVS,SILVS
MOSILVER,etf,MOSILVER,Motilal Oswal Silver ETF,MOSI,MOSI
SILVERBND,etf,SILVERBND,Bandhan Silver ETF,SILVB,SILVB
GSEC10IETF,etf,GSEC10IETF,ICICI Pru Nifty 10 yr Benchmark G-sec ETF,ICIGI,ICIGI
GILT5BETA,etf,GILT5BETA,UTI Nifty 5 yr Benchmark G-Sec ETF,NIFGE,NIFGE
LTGILTBEES,etf,LTGILTBEES,Nippon IN ETF Nifty 8-13 yr G-Sec Long Term Gilt,NTFL,NTFL
GILT5YBEES,etf,GILT5YBEES,Nippon India ETF Nifty 5 yr Benchmark G-Sec,NETFG,NETFG
SETF10GILT,etf,SETF10GILT,SBI Nifty 10 yr Benchmark G-Sec ETF,SBGT,SBGT
LTGILTCASE,etf,LTGILTCASE,Zerodha Nifty 8-13 Yr G-Sec ETF,LTG,LTG
LICNETFGSC,etf,LICNETFGSC,LIC MF Nifty 8-13 yr G-Sec ETF,LICN,LICN
MOGSEC,etf,MOGSEC,Motilal Oswal Nifty 5 year BM G-Sec ETF,G,G
GSEC5IETF,etf,GSEC5IETF,ICICI Pru Nifty 5 yr Benchmark G-SEC ETF,ICICG,ICICG
GILT10BETA,etf,GILT10BETA,UTI Nifty 10 yr Benchmark G-Sec ETF,NIFG,NIFG
ABGSEC,etf,ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,ABGSE,ABGSE
GSEC10YEAR,etf,GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF,MAGS,MAGS
GSEC10ABSL,etf,GSEC10ABSL,Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,GSE,GSE
LIQUIDBEES,etf,LIQUIDBEES,Nippon India ETF Nifty 1D Rate Liquid BeES,LBES,LBES
LIQUIDIETF,etf,LIQUIDIETF,ICICI Prudential BSE Liquid Rate ETF - IDCW,ICIP,ICIP
LIQUIDETF,etf,LIQUIDETF,DSP NIFTY 1D Rate Liquid ETF,DSPL,DSPL
LIQUIDCASE,etf,LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,LIQUI,LIQUI
